epoch,acc,loss,lr,val_acc,val_loss
113,0.9558199999618531,0.24994564430713653,1e-04,0.8989,0.46220224657058717
114,0.9551400000381469,0.25272759546279905,1e-04,0.8958,0.46932477321624755
115,0.954959999961853,0.251071927986145,1e-04,0.8986,0.47318904953002927
116,0.9569,0.2468021545982361,1e-04,0.898,0.46504997191429137
117,0.95594,0.24818048090934752,1e-04,0.899,0.4687791325569153
118,0.9570800000190735,0.24728320805549622,1e-04,0.9003,0.4581020151615143
119,0.957800000038147,0.2446738446521759,1e-04,0.8961,0.48422472887039186
120,0.9568000000190735,0.24496568562507628,1e-04,0.8979,0.4764598458766937
121,0.9580599999809265,0.24152810487747192,1e-05,0.9015,0.4538689594268799
122,0.95926,0.23910086582183837,1e-05,0.9025,0.4533799879550934
123,0.9606999999809265,0.23724684550285338,1e-05,0.9023,0.45243183517456054
124,0.9596999999809265,0.2374968638086319,1e-05,0.9033,0.45020783672332765
125,0.960559999961853,0.23642741813659668,1e-05,0.9029,0.452911810874939
126,0.95962,0.23813912857055664,1e-05,0.9026,0.45439873614311216
127,0.96048,0.23705128310203552,1e-05,0.9037,0.451530818605423
128,0.9605199999809265,0.235131520819664,1e-05,0.9027,0.45349684662818907
129,0.9602999999809265,0.23614690241336822,1e-05,0.9038,0.4523165470123291
130,0.961199999961853,0.23440164475440978,1e-05,0.9027,0.45374090609550477
131,0.96198,0.23310657426834105,1e-05,0.9033,0.45188436179161073
132,0.961440000038147,0.23451143949508668,1e-05,0.9041,0.45034643115997314
133,0.9604199999809265,0.23552031693935394,1e-05,0.9033,0.45369188323020937
134,0.960319999961853,0.23646668760299683,1e-05,0.9045,0.45159616289138793
135,0.960660000038147,0.23420023862361908,1e-05,0.9034,0.45115586457252504
136,0.9624000000190734,0.2315062872695923,1e-05,0.9037,0.45377517786026
137,0.96144,0.23267364325046538,1e-05,0.9026,0.4544258113861084
138,0.9621399999618531,0.2329522577238083,1e-05,0.9033,0.4530414297580719
